Identifier	gene_id	seqid	strand	start	end	featWidth	gene_name	gc
YAL014C	YAL014C	I	-	128252	129019	768	SYN8	0.4492
YAL013W	YAL013W	I	+	129270	130487	1218	DEP1	0.5148
YAL012W	YAL012W	I	+	130799	131983	1185	CYS3	0.4869
YAL011W	YAL011W	I	+	132199	134076	1878	SWC3	0.4159
YAL010C	YAL010C	I	-	134184	135665	1482	MDM10	0.3671
YAL009W	YAL009W	I	+	135854	136633	780	SPO7	0.4141
YAL008W	YAL008W	I	+	136914	137510	597	FUN14	0.3886
YAL007C	YAL007C	I	-	137698	138345	648	ERP2	0.3704
tP(UGG)A	tP(UGG)A	I	+	139152; 139219	139187; 139254	72	TRN1	0.6111
YAL005C	YAL005C	I	-	139503	141431	1929	SSA1	0.4406
YAL004W	YAL004W	I	+	140760	141407	648	YAL004W	0.4491
YAL003W	YAL003W	I	+	142174; 142620	142253; 143160	621	EFB1	0.4461
snR18	snR18	I	+	142367	142468	102	SNR18	0.402
YAL002W	YAL002W	I	+	143707	147531	3825	VPS8	0.3718
YAL001C	YAL001C	I	-	147594; 151097	151006; 151166	3483	TFC3	0.3712
YAR002W	YAR002W	I	+	152257	153876	1620	NUP60	0.3951
YAR002C-A	YAR002C-A	I	-	154065	154724	660	ERP1	0.3955
YAR003W	YAR003W	I	+	155005	156285	1281	SWD1	0.4005
YAR007C	YAR007C	I	-	156754	158619	1866	RFA1	0.395
YAR008W	YAR008W	I	+	158966	159793	828	SEN34	0.3925
YAR009C	YAR009C	I	-	160597	164187	3591	YAR009C	0.372
YAR010C	YAR010C	I	-	164544	165866	1323	YAR010C	0.4104
tA(UGC)A	tA(UGC)A	I	+	166267	166339	73	tA(UGC)A	0.6027
YAR014C	YAR014C	I	-	166742	168871	2130	BUD14	0.4164
YAR015W	YAR015W	I	+	169375	170295	921	ADE1	0.4332
YAR018C	YAR018C	I	-	170396	171703	1308	KIN3	0.393
YAR019C	YAR019C	I	-	172211	175135	2925	CDC15	0.401
YAR019W-A	YAR019W-A	I	+	174998	175330	333	YAR019W-A	0.4444
YAR020C	YAR020C	I	-	176856	177023	168	PAU7	0.4405
YAR023C	YAR023C	I	-	179281	179820	540	YAR023C	0.4019
tL(CAA)A	tL(CAA)A	I	+	181141; 181211	181178; 181254	82	SUP56	0.5
tS(AGA)A	tS(AGA)A	I	-	182522	182603	82	tS(AGA)A	0.5366
YAR027W	YAR027W	I	+	183770	184477	708	UIP3	0.3743
YAR028W	YAR028W	I	+	184892	185596	705	YAR028W	0.4142
YAR029W	YAR029W	I	+	186321	186545	225	YAR029W	0.3733
YAR030C	YAR030C	I	-	186512	186853	342	YAR030C	0.3655
YAR031W	YAR031W	I	+	186836	187732	897	PRM9	0.388
YAR033W	YAR033W	I	+	188107	188811	705	MST28	0.4113
YAR035W	YAR035W	I	+	190193	192256	2064	YAT1	0.5804
YAR035C-A	YAR035C-A	I	-	192337	192417	81	YAR035C-A	0.4444
YAR042W	YAR042W	I	+	192619	196185	3567	SWH1	0.4401
YAR047C	YAR047C	I	-	201467	201787	321	YAR047C	0.3178
YAR050W	YAR050W	I	+	203403	208016	4614	FLO1	0.4532
YAR053W	YAR053W	I	+	208367	208663	297	YAR053W	0.3199
YAR060C	YAR060C	I	-	217157	217492	336	YAR060C	0.3839
YAR061W	YAR061W	I	+	218140	218343	204	YAR061W	0.4167
YAR062W	YAR062W	I	+	218549	219145	597	YAR062W	0.4322
YAR064W	YAR064W	I	+	220198	220497	300	YAR064W	0.48
YAR066W	YAR066W	I	+	221049	221660	612	YAR066W	0.469
YAR068W	YAR068W	I	+	222406	222891	486	YAR068W	0.4733
YAR069C	YAR069C	I	-	224011	224304	294	YAR069C	0.3878
YAR070C	YAR070C	I	-	224563	224862	300	YAR070C	0.3933
YAR071W	YAR071W	I	+	225460	226863	1404	PHO11	0.4217
YAR073W	YAR073W	I	+	227742	228953	1212	IMD1	0.4266
YAR075W	YAR075W	I	+	228844	229317	474	YAR075W	0.4093
YCL076W	YCL076W	III	+	1392	2135	744	YCL076W	0.3858
YCL075W	YCL075W	III	+	2126	2566	441	YCL075W	0.4195
YCL074W	YCL074W	III	+	2824	3750	927	YCL074W	0.4358
YCL073C	YCL073C	III	-	6479	8326	1848	GEX1	0.4042
YCL069W	YCL069W	III	+	9706	11082	1377	VBA3	0.3936
YCL068C	YCL068C	III	-	11503	12285	783	YCL068C	0.4355
YCL067C	YCL067C	III	-	12386	13018	633	HMLALPHA2	0.3507
YCL066W	YCL066W	III	+	13282	13809	528	HMLALPHA1	0.3788
YCL065W	YCL065W	III	+	13751	14119	369	YCL065W	0.3496
YCL064C	YCL064C	III	-	15798	16880	1083	CHA1	0.3934
YCL063W	YCL063W	III	+	17290	18561	1272	VAC17	0.4017
YCL061C	YCL061C	III	-	18816	22106	3291	MRC1	0.3771
YCL059C	YCL059C	III	-	22429	23379	951	KRR1	0.3838
YCL058C	YCL058C	III	-	23523	23981	459	FYV5	0.4183
YCL058W-A	YCL058W-A	III	+	23584	23925	342	ADF1	0.4357
YCL057C-A	YCL057C-A	III	-	24032	24325	294	MOS1	0.5136
YCL057W	YCL057W	III	+	24768	26906	2139	PRD1	0.3964
YCL056C	YCL056C	III	-	26925	27359	435	PEX34	0.3356
YCL055W	YCL055W	III	+	27929	28936	1008	KAR4	0.3819
YCL054W	YCL054W	III	+	31449	33974	2526	SPB1	0.3816
YCL052C	YCL052C	III	-	34143	35393	1251	PBN1	0.3853
YCL051W	YCL051W	III	+	35865	37616	1752	LRE1	0.4207
YCL050C	YCL050C	III	-	37836	38801	966	APA1	0.3934
YCL049C	YCL049C	III	-	39786	40724	939	YCL049C	0.4356
YCL048W-A	YCL048W-A	III	+	41488	41727	240	YCL048W-A	0.4958
YCL048W	YCL048W	III	+	42165	43556	1392	SPS22	0.3693
YCL047C	YCL047C	III	-	43661	44437	777	POF1	0.3912
YCL045C	YCL045C	III	-	44623	46905	2283	EMC1	0.3855
YCL046W	YCL046W	III	+	46640	46963	324	YCL046W	0.4136
YCL044C	YCL044C	III	-	47111	48364	1254	MGR1	0.453
YCL043C	YCL043C	III	-	48653	50221	1569	PDI1	0.4729
YCL041C	YCL041C	III	-	50133	50627	495	YCL041C	0.4121
YCL042W	YCL042W	III	+	50584	50943	360	YCL042W	0.5167
YCL040W	YCL040W	III	+	50838	52340	1503	GLK1	0.4963
YCL039W	YCL039W	III	+	52645	54882	2238	GID7	0.45
YCL038C	YCL038C	III	-	54941	56527	1587	ATG22	0.3951
YCL037C	YCL037C	III	-	57374	58678	1305	SRO9	0.4483
YCL036W	YCL036W	III	+	59026	60726	1701	GFD2	0.4733
YCL035C	YCL035C	III	-	60841	61173	333	GRX1	0.4174
YCL034W	YCL034W	III	+	61658	62722	1065	LSB5	0.4854
YCL033C	YCL033C	III	-	62776	63282	507	MXR2	0.4872
YCL032W	YCL032W	III	+	63441	64481	1041	STE50	0.4371
YCL031C	YCL031C	III	-	64675	65568	894	RRP7	0.3602
YCL030C	YCL030C	III	-	65934	68333	2400	HIS4	0.4246
YCL029C	YCL029C	III	-	68599	69921	1323	BIK1	0.4369
YCL028W	YCL028W	III	+	70150	71367	1218	RNQ1	0.454
YCL027W	YCL027W	III	+	71803	73341	1539	FUS1	0.4087
YCL026C-B	YCL026C-B	III	-	73405	73986	582	HBN1	0.4674
YCL026C-A	YCL026C-A	III	-	74704	75285	582	FRM2	0.4433
YCL025C	YCL025C	III	-	76018	77919	1902	AGP1	0.4374
YCL023C	YCL023C	III	-	78949	79296	348	YCL023C	0.431
YCL024W	YCL024W	III	+	79162	82275	3114	KCC4	0.403
YCL022C	YCL022C	III	-	81570	82085	516	YCL022C	0.4186
tE(UUC)C	tE(UUC)C	III	-	82462	82533	72	tE(UUC)C	0.5556
YCL021W-A	YCL021W-A	III	+	83620	83997	378	YCL021W-A	0.4127
YCL019W	YCL019W	III	+	85102; 86393	86391; 90415	5313	YCL019W	0.3706
YCL020W	YCL020W	III	+	85102	86418	1317	YCL020W	0.3872
tL(CAA)C	tL(CAA)C	III	+	90859; 90929	90896; 90972	82	SUP53	0.5
YCL018W	YCL018W	III	+	91324	92418	1095	LEU2	0.4402
YCL017C	YCL017C	III	-	92777	94270	1494	NFS1	0.4317
YCL016C	YCL016C	III	-	94621	95763	1143	DCC1	0.4322
YCL014W	YCL014W	III	+	96281	101191	4911	BUD3	0.38
YCL012C	YCL012C	III	-	101317; 101701	101633; 101788	405	YCL012C	0.3827
YCL011C	YCL011C	III	-	102075	103358	1284	GBP2	0.4252
YCL010C	YCL010C	III	-	103571	104350	780	SGF29	0.4667
YCL009C	YCL009C	III	-	104619	105548	930	ILV6	0.5011
YCL008C	YCL008C	III	-	105696	106853	1158	STP22	0.4845
YCL007C	YCL007C	III	-	106974	107366	393	YCL007C	0.3817
YCL005W-A	YCL005W-A	III	+	107023; 107111; 107288	107033; 107191; 107417	222	VMA9	0.4414
snR43	snR43	III	-	107504	107712	209	SNR43	0.4019
YCL005W	YCL005W	III	+	108021	108791	771	LDB16	0.4306
YCL004W	YCL004W	III	+	109105	110670	1566	PGS1	0.3831
YCL002C	YCL002C	III	-	110808; 111634	111557; 111675	792	YCL002C	0.351
YCL001W	YCL001W	III	+	111916	112482	567	RER1	0.3457
YCL001W-A	YCL001W-A	III	+	113080	113541	462	YCL001W-A	0.3139
YCL001W-B	YCL001W-B	III	+	113770	114024	255	YCL001W-B	0.3686
YCR001W	YCR001W	III	+	115685	115999	315	YCR001W	0.3048
YCR002C	YCR002C	III	-	117380	118348	969	CDC10	0.3705
YCR003W	YCR003W	III	+	118620	119171	552	MRPL32	0.375
YCR004C	YCR004C	III	-	119575	120318	744	YCP4	0.4489
YCR005C	YCR005C	III	-	120946	122328	1383	CIT2	0.3984
YCR006C	YCR006C	III	-	122530	123003	474	YCR006C	0.4662
tP(AGG)C	tP(AGG)C	III	-	123577	123648	72	SUF2	0.6667
YCR007C	YCR007C	III	-	126011	126730	720	YCR007C	0.3625
tN(GUU)C	tN(GUU)C	III	+	127716	127789	74	tN(GUU)C	0.5405
YCR008W	YCR008W	III	+	128470	130281	1812	SAT4	0.3918
YCR009C	YCR009C	III	-	130745	131542	798	RVS161	0.3822
YCR010C	YCR010C	III	-	132273	133124	852	ADY2	0.4202
YCR011C	YCR011C	III	-	133724	136873	3150	ADP1	0.3794
YCR012W	YCR012W	III	+	137746	138996	1251	PGK1	0.4604
YCR013C	YCR013C	III	-	138402	139049	648	YCR013C	0.4491
YCR014C	YCR014C	III	-	139185	140933	1749	POL4	0.3596
YCR015C	YCR015C	III	-	141217	142170	954	YCR015C	0.3491
snR33	snR33	III	-	142364	142546	183	SNR33	0.377
tG(GCC)C	tG(GCC)C	III	-	142701	142771	71	SUF16	0.5775
YCR016W	YCR016W	III	+	143634	144506	873	YCR016W	0.3608
YCR017C	YCR017C	III	-	144773	147634	2862	CWH43	0.3955
YCR018C	YCR018C	III	-	148238	148903	666	SRD1	0.3739
tM(CAU)C	tM(CAU)C	III	+	149920	149991	72	tM(CAU)C	0.6528
tK(CUU)C	tK(CUU)C	III	-	151284	151356	73	tK(CUU)C	0.5479
YCR018C-A	YCR018C-A	III	-	151608	151862	255	YCR018C-A	0.3216
YCR019W	YCR019W	III	+	152837	153928	1092	MAK32	0.4066
YCR020C	YCR020C	III	-	154012	154659	648	PET18	0.3873
YCR020C-A	YCR020C-A	III	-	154830	155096	267	MAK31	0.3933
YCR020W-B	YCR020W-B	III	+	155320	155556	237	HTL1	0.3333
YCR021C	YCR021C	III	-	156109	157107	999	HSP30	0.4284
YCR022C	YCR022C	III	-	157421	157765	345	YCR022C	0.4464
YCR023C	YCR023C	III	-	158538	160373	1836	YCR023C	0.3813
YCR024C	YCR024C	III	-	160744	162222	1479	SLM5	0.3732
YCR024C-B	YCR024C-B	III	-	162599	162865	267	YCR024C-B	0.3296
YCR024C-A	YCR024C-A	III	-	162945	163067	123	PMP1	0.3577
YCR025C	YCR025C	III	-	163446	163856	411	YCR025C	0.4404
YCR026C	YCR026C	III	-	164111	166339	2229	NPP1	0.4029
YCR027C	YCR027C	III	-	167370	167999	630	RHB1	0.3968
tQ(UUG)C	tQ(UUG)C	III	-	168301	168372	72	tQ(UUG)C	0.5139
YCR028C	YCR028C	III	-	170886	172424	1539	FEN2	0.4022
YCR028C-A	YCR028C-A	III	-	172950; 173199	173115; 173440	408	RIM1	0.3824
YCR030C	YCR030C	III	-	173826	176438	2613	SYP1	0.4168
snR65	snR65	III	+	177183	177282	100	SNR65	0.26
YCR031C	YCR031C	III	-	177500; 178214	177906; 178220	414	RPS14A	0.4589
snR189	snR189	III	-	178610	178798	189	SNR189	0.3704
YCR032W	YCR032W	III	+	179520	186023	6504	BPH1	0.3506
YCR033W	YCR033W	III	+	186489	190169	3681	SNT1	0.3958
YCR034W	YCR034W	III	+	190592	191635	1044	FEN1	0.3822
YCR035C	YCR035C	III	-	191834	193018	1185	RRP43	0.3823
YCR036W	YCR036W	III	+	193297	194298	1002	RBK1	0.3982
YCR037C	YCR037C	III	-	194414	197185	2772	PHO87	0.3856
YCR038C	YCR038C	III	-	197621	199549	1929	BUD5	0.3935
YCR038W-A	YCR038W-A	III	+	199293	199418	126	YCR038W-A	0.4206
YCR039C	YCR039C	III	-	199546	200178	633	MATALPHA2	0.3507
YCR040W	YCR040W	III	+	200442	200969	528	MATALPHA1	0.3788
YCR041W	YCR041W	III	+	200911	201243	333	YCR041W	0.3604
YCR042C	YCR042C	III	-	201174	205397	4224	TAF2	0.3681
YCR043C	YCR043C	III	-	206261	206644	384	YCR043C	0.3698
YCR044C	YCR044C	III	-	206877	207950	1074	PER1	0.4078
YCR045C	YCR045C	III	-	208135	209610	1476	RRT12	0.479
YCR045W-A	YCR045W-A	III	+	208751	209101	351	YCR045W-A	0.5271
YCR046C	YCR046C	III	-	209914	210423	510	IMG1	0.5235
YCR047C	YCR047C	III	-	210718	211545	828	BUD23	0.5266
YCR047W-A	YCR047W-A	III	+	211301	211507	207	YCR047W-A	0.5314
YCR049C	YCR049C	III	-	211871	212317	447	YCR049C	0.5459
YCR048W	YCR048W	III	+	211929	213761	1833	ARE1	0.4992
YCR050C	YCR050C	III	-	213464	213772	309	YCR050C	0.4531
YCR051W	YCR051W	III	+	214071	214739	669	YCR051W	0.5306
YCR052W	YCR052W	III	+	214994	216445	1452	RSC6	0.458
YCR053W	YCR053W	III	+	216697	218241	1545	THR4	0.4039
YCR054C	YCR054C	III	-	218376	220067	1692	CTR86	0.3605
YCR057C	YCR057C	III	-	220457	223228	2772	PWP2	0.4134
YCR059C	YCR059C	III	-	223454	224230	777	YIH1	0.5302
YCR060W	YCR060W	III	+	224399	224734	336	TAH1	0.497
YCR061W	YCR061W	III	+	225563	227458	1896	YCR061W	0.49
tS(CGA)C	tS(CGA)C	III	+	227942; 227998	227978; 228042	82	SUP61	0.5854
YCR064C	YCR064C	III	-	228095	228505	411	YCR064C	0.4453
YCR063W	YCR063W	III	+	228318	228791	474	BUD31	0.4789
YCR065W	YCR065W	III	+	229310	231004	1695	HCM1	0.4183
YCR066W	YCR066W	III	+	231500	232963	1464	RAD18	0.3784
YCR067C	YCR067C	III	-	233125	236322	3198	SED4	0.4006
YCR068W	YCR068W	III	+	237214	238776	1563	ATG15	0.4798
YCR069W	YCR069W	III	+	239055	240011	957	CPR4	0.4336
YCR071C	YCR071C	III	-	240103	240543	441	IMG2	0.4036
YCR072C	YCR072C	III	-	240805	242352	1548	RSA4	0.4341
YCR073C	YCR073C	III	-	242588	246583	3996	SSK22	0.3926
YCR073W-A	YCR073W-A	III	+	246963	247910	948	SOL2	0.4947
YCR075C	YCR075C	III	-	248033	248815	783	ERS1	0.433
YCR075W-A	YCR075W-A	III	+	248975	249202	228	YCR075W-A	0.4254
YCR076C	YCR076C	III	-	249293	250045	753	YCR076C	0.4807
YCR077C	YCR077C	III	-	250238	252628	2391	PAT1	0.4345
YCR079W	YCR079W	III	+	252845	254173	1329	PTC6	0.4778
YCR081W	YCR081W	III	+	254371	258654	4284	SRB8	0.3515
YCR081C-A	YCR081C-A	III	-	258415	258651	237	YCR081C-A	0.4008
YCR082W	YCR082W	III	+	258883	259269	387	AHC2	0.3953
YCR083W	YCR083W	III	+	259578	259961	384	TRX3	0.4141
YCR084C	YCR084C	III	-	260311	262452	2142	TUP1	0.4552
YCR085W	YCR085W	III	+	262916	263269	354	YCR085W	0.3446
YCR086W	YCR086W	III	+	263392	263964	573	CSM1	0.4398
YCR087W	YCR087W	III	+	263976	264491	516	YCR087W	0.4322
YCR087C-A	YCR087C-A	III	-	264006	264467	462	YCR087C-A	0.4524
YCR088W	YCR088W	III	+	265068	266846	1779	ABP1	0.4592
YCR089W	YCR089W	III	+	267434	272263	4830	FIG2	0.4178
YCR090C	YCR090C	III	-	272315	272863	549	YCR090C	0.3643
YCR091W	YCR091W	III	+	274404	276566	2163	KIN82	0.3999
YCR092C	YCR092C	III	-	276764	279820	3057	MSH3	0.368
YCR093W	YCR093W	III	+	280117	286443	6327	CDC39	0.3643
YCR094W	YCR094W	III	+	286762	287937	1176	CDC50	0.3682
YCR095C	YCR095C	III	-	288170	289258	1089	OCA4	0.3407
YCR095W-A	YCR095W-A	III	+	289639	289797	159	YCR095W-A	0.3082
YCR096C	YCR096C	III	-	293179	293538	360	HMRA2	0.3722
YCR097W	YCR097W	III	+	293835; 293994; 294292	293939; 294239; 294321	381	HMRA1	0.3097
YCR097W-A	YCR097W-A	III	+	294439	294705	267	YCR097W-A	0.3371
tT(AGU)C	tT(AGU)C	III	+	295484	295556	73	tT(AGU)C	0.4795
YCR098C	YCR098C	III	-	297049	298605	1557	GIT1	0.3828
YCR099C	YCR099C	III	-	300832	301299	468	YCR099C	0.3761
YCR100C	YCR100C	III	-	301271	302221	951	YCR100C	0.3828
YCR101C	YCR101C	III	-	302482	303030	549	YCR101C	0.3698
YCR102C	YCR102C	III	-	304361	305467	1107	YCR102C	0.4426
YCR102W-A	YCR102W-A	III	+	306735	306932	198	YCR102W-A	0.3535
YCR104W	YCR104W	III	+	307801	308175	375	PAU3	0.4773
YCR105W	YCR105W	III	+	309070	310155	1086	ADH7	0.4365
YCR106W	YCR106W	III	+	310958	313456	2499	RDS1	0.3693
YCR107W	YCR107W	III	+	313890	314981	1092	AAD3	0.4093
YCR108C	YCR108C	III	-	315997	316188	192	YCR108C	0.4635
