Identifier	seqid	gene_id	strand	start	end	width	gc	isPresent	log2 Ratio	pValue	fdr	wt_1 [normalized count]	wt_2 [normalized count]	mut_1 [normalized count]	mut_2 [normalized count]	wt_1 [FPKM]	wt_2 [FPKM]	mut_1 [FPKM]	mut_2 [FPKM]
YLR003C	XII	YLR003C	-	156855	157730	876	0.339	TRUE	-0.7677	0.1027	0.3959	10.28	13.64	6.015	7.973	2397	3238	1433	1885
YDL231C	IV	YDL231C	-	38867	42244	3378	0.3964	TRUE	0.5444	0.1052	0.3959	17.47	21.43	22.06	34.88	1057	1319	1362	2139
YLR256W	XII	YLR256W	+	646415	650923	4509	0.4136	TRUE	-0.7485	0.1258	0.4474	16.44	5.844	6.015	6.976	745	269.6	278.4	320.5
YER155C	V	YER155C	-	476345	482848	6504	0.3602	TRUE	0.7244	0.1555	0.5095	6.165	5.844	8.02	11.96	193.7	186.9	257.3	380.9
YHR106W	VIII	YHR106W	+	325598	326626	1029	0.4325	TRUE	0.8122	0.1592	0.5095	5.138	3.896	5.013	10.96	1020	787.5	1017	2207
YFL018C	VI	YFL018C	-	101628	103127	1500	0.4227	TRUE	-0.4534	0.1719	0.524	22.61	25.32	20.05	14.95	3079	3512	2789	2064
YNL009W	XIV	YNL009W	+	614821	616083	1263	0.3642	TRUE	-0.6436	0.1803	0.5246	12.33	9.74	6.015	7.973	1995	1604	993.8	1308
YPR190C	XVI	YPR190C	-	917077	919041	1965	0.3888	TRUE	-0.4985	0.1936	0.5387	12.33	21.43	14.04	9.966	1282	2268	1491	1051
YJR004C	X	YJR004C	-	442909	444861	1953	0.3968	TRUE	-0.4358	0.2104	0.5417	21.58	20.45	18.05	12.96	2258	2178	1928	1374
YDR150W	IV	YDR150W	+	755628	763874	8247	0.3834	TRUE	0.4651	0.2116	0.5417	11.3	14.61	15.04	20.93	280	368.5	380.5	525.7
YNR051C	XIV	YNR051C	-	716780	718327	1548	0.3966	TRUE	-0.6126	0.2208	0.5435	9.248	10.71	6.015	6.976	1221	1440	810.9	933.5
YML072C	XIII	YML072C	-	124730	129367	4638	0.3905	TRUE	0.6641	0.2378	0.5637	5.138	4.87	5.013	10.96	226.3	218.4	225.5	489.6
YOL138C	XV	YOL138C	-	61325	65350	4026	0.3989	TRUE	-0.4437	0.2696	0.6142	12.33	17.53	16.04	5.98	625.8	905.8	831.4	307.7
YIL155C	IX	YIL155C	-	51759	53708	1950	0.4862	TRUE	0.4259	0.281	0.6142	12.33	10.71	15.04	15.95	1292	1143	1609	1694
YER036C	V	YER036C	-	223367	225199	1833	0.4092	TRUE	-0.4616	0.2949	0.6142	57.54	38.96	25.06	44.85	6414	4421	2853	5068
YGR116W	VII	YGR116W	+	720409	724764	4356	0.3689	TRUE	0.478	0.3172	0.6142	5.138	9.74	9.023	11.96	241	465.1	432.2	568.7
YOR188W	XV	YOR188W	+	685767	689180	3414	0.3943	TRUE	-0.4541	0.3291	0.6142	8.22	13.64	4.01	11.96	492	830.8	245.1	725.6
YIL143C	IX	YIL143C	-	80510	83041	2532	0.4096	TRUE	0.4527	0.3306	0.6142	6.165	9.74	14.04	7.973	497.5	800.1	1157	652.3
YDR495C	IV	YDR495C	-	1438115	1441150	3036	0.333	TRUE	0.394	0.3307	0.6142	10.28	11.69	15.04	13.95	691.5	800.8	1034	952
YNL088W	XIV	YNL088W	+	457704	461990	4287	0.3604	TRUE	0.3481	0.3359	0.6142	15.41	13.64	24.06	12.96	734.6	661.6	1171	626
YLR087C	XII	YLR087C	-	306855	315731	8877	0.3748	TRUE	0.4332	0.384	0.6735	7.193	6.818	11.03	7.973	165.6	159.8	259.2	186
YJL005W	X	YJL005W	+	425157	431237	6081	0.3878	TRUE	0.3581	0.3894	0.6735	10.28	10.71	12.03	14.95	345.3	366.5	412.8	509.2
YLL005C	XII	YLL005C	-	137940	140546	2607	0.3314	TRUE	0.4746	0.414	0.6973	4.11	5.844	12.03	1.993	322.1	466.3	963	158.4
YBR023C	II	YBR023C	-	284428	287925	3498	0.3917	TRUE	-0.4396	0.4312	0.7077	4.11	10.71	4.01	6.976	240.1	637.1	239.2	413.1
YMR110C	XIII	YMR110C	-	490394	491992	1599	0.3721	TRUE	0.2862	0.4467	0.7148	16.44	10.71	17.04	15.95	2101	1394	2224	2066
YBR186W	II	YBR186W	+	600553; 602217	602103; 602360	1695	0.377	TRUE	-0.3576	0.4781	0.7312	12.33	5.844	8.02	5.98	1486	717.1	987.4	730.8
YBR215W	II	YBR215W	+	653356; 653453	653368; 655317	1878	0.3738	TRUE	0.3562	0.4798	0.7312	6.165	7.792	12.03	5.98	670.8	863	1337	659.6
YER015W	V	YER015W	+	184541	186775	2235	0.3888	TRUE	-0.2042	0.5127	0.7631	27.74	25.32	29.07	16.94	2536	2357	2715	1570
YDR464W	IV	YDR464W	+	1388872	1393179	4308	0.3967	TRUE	-0.2608	0.5464	0.7856	13.36	10.71	12.03	7.973	633.6	517.3	582.7	383.4
YPR189W	XVI	YPR189W	+	912664	916962	4299	0.3657	TRUE	0.1662	0.5557	0.7856	42.13	38.96	47.12	43.85	2002	1885	2287	2113
YCR089W	III	YCR089W	+	267434	272263	4830	0.4178	TRUE	-0.2391	0.5646	0.7856	9.248	16.56	9.023	12.96	391.2	713.1	389.8	555.6
YOR098C	XV	YOR098C	-	507948	511178	3231	0.4194	TRUE	0.2189	0.6323	0.8609	4.11	13.64	12.03	8.97	259.9	877.8	777	575
YKL182W	XI	YKL182W	+	100671	106826	6156	0.3994	TRUE	-0.1827	0.6461	0.8615	28.77	14.61	18.05	19.93	954.9	493.6	611.7	670.7
YBL004W	II	YBL004W	+	227636	235117	7482	0.3551	TRUE	-0.1758	0.6688	0.8736	12.33	13.64	14.04	8.97	336.7	379.1	391.5	248.3
YCR081W	III	YCR081W	+	254371	258654	4284	0.3515	TRUE	-0.1902	0.7139	0.8857	13.36	2.922	7.018	6.976	637.1	141.9	341.8	337.3
YML088W	XIII	YML088W	+	92235	94241	2007	0.3986	TRUE	-0.1785	0.7225	0.8857	8.22	8.766	3.008	11.96	836.9	908.5	312.7	1234
YML061C	XIII	YML061C	-	148953	151532	2580	0.3934	TRUE	-0.09739	0.7294	0.8857	42.13	48.7	50.13	34.88	3336	3926	4054	2801
YML068W	XIII	YML068W	+	137550	138944	1395	0.3756	TRUE	-0.09573	0.7335	0.8857	54.46	41.88	47.12	42.85	7977	6245	7048	6363
YML066C	XIII	YML066C	-	140424	141533	1110	0.4027	TRUE	-0.1305	0.7625	0.8874	11.3	11.69	11.03	9.966	2081	2190	2073	1860
YDR292C	IV	YDR292C	-	1043146	1045011	1866	0.3719	TRUE	-0.1304	0.7626	0.8874	8.22	14.61	10.03	10.96	900.1	1629	1121	1217
YDR076W	IV	YDR076W	+	598468	599688	1221	0.3718	TRUE	-0.1152	0.7771	0.8881	17.47	8.766	16.04	7.973	2923	1493	2741	1353
YBR229C	II	YBR229C	-	676357	679221	2865	0.3895	TRUE	-0.0645	0.8407	0.9361	22.61	23.38	18.05	25.91	1612	1697	1314	1873
YOR374W	XV	YOR374W	+	1039840	1041399	1560	0.4442	TRUE	-0.09234	0.8564	0.9361	11.3	4.87	7.018	7.973	1480	649.3	938.7	1059
YOR099W	XV	YOR099W	+	511825	513006	1182	0.412	TRUE	0.08545	0.8629	0.9361	9.248	6.818	12.03	4.983	1599	1200	2124	873.3
YDR458C	IV	YDR458C	-	1380055	1382046	1992	0.3604	TRUE	-0.04717	0.884	0.9394	130.5	124.7	131.3	115.6	13390	13020	13760	12020
YPL176C	XVI	YPL176C	-	216012	218363	2352	0.4065	TRUE	0.05124	0.8954	0.9394	14.39	12.66	16.04	11.96	1250	1120	1423	1053
YHR099W	VIII	YHR099W	+	302761	313995	11235	0.3679	TRUE	0.0303	0.9228	0.9526	115.1	100.3	110.3	109.6	2093	1857	2048	2021
YEL020C	V	YEL020C	-	118617	120299	1683	0.4361	TRUE	-0.0005674	0.9988	0.9988	14.39	17.53	16.04	15.95	1746	2167	1989	1963
YPR036W	XVI	YPR036W	+	643836	645272	1437	0.4461	TRUE	-0.000716	0.9988	0.9988	11.3	5.844	7.018	9.966	1607	845.9	1019	1437
YDR480W	IV	YDR480W	+	1417399	1418370	972	0.4084	FALSE	3.292	0.0009286	NA	1.028	0	6.015	5.98	216	0	1291	1274
YOR025W	XV	YOR025W	+	378219	379562	1344	0.4271	FALSE	-2.664	0.001461	NA	8.22	5.844	2.005	0	1250	904.4	311.3	0
YBR295W	II	YBR295W	+	792849	796499	3651	0.4152	FALSE	-4.858	0.001836	NA	4.11	2.922	0	0	230	166.5	0	0
YGR043C	VII	YGR043C	-	580435	581436	1002	0.4052	FALSE	-4.858	0.001836	NA	4.11	2.922	0	0	838.1	606.6	0	0
YLR267W	XII	YLR267W	+	678212	679924	1713	0.359	FALSE	-4.858	0.001836	NA	3.083	3.896	0	0	367.7	473.1	0	0
YHR031C	VIII	YHR031C	-	170799	172970	2172	0.4015	FALSE	4.858	0.002044	NA	0	0	5.013	1.993	0	0	481.6	190.1
YEL017W	V	YEL017W	+	123657	124670	1014	0.4379	FALSE	-4.859	0.002075	NA	5.138	1.948	0	0	1035	399.6	0	0
YOL031C	XV	YOL031C	-	266264	267529	1266	0.3799	FALSE	2.557	0.002689	NA	0	1.948	5.013	7.973	0	320.1	826.2	1305
YPR114W	XVI	YPR114W	+	753301	754248	948	0.4082	FALSE	-4.644	0.004473	NA	3.083	2.922	0	0	664.4	641.1	0	0
YAL042W	I	YAL042W	+	61316	62563	1248	0.496	FALSE	4.392	0.008507	NA	0	0	3.008	1.993	0	0	502.9	330.8
YBR121C	II	YBR121C	-	481364	483367	2004	0.3927	FALSE	4.392	0.008507	NA	0	0	2.005	2.99	0	0	208.8	309
YOR105W	XV	YOR105W	+	518195	518521	327	0.3639	FALSE	4.392	0.008507	NA	0	0	2.005	2.99	0	0	1280	1894
YPL119C	XVI	YPL119C	-	324411	326264	1854	0.4261	FALSE	2.321	0.008842	NA	0	1.948	4.01	6.976	0	218.5	451.4	779.4
YNL024C	XIV	YNL024C	-	587107	587847	741	0.3981	FALSE	-4.391	0.009266	NA	1.028	3.896	0	0	283.3	1094	0	0
YKL042W	XI	YKL042W	+	358475	359566	1092	0.3883	FALSE	-4.391	0.009362	NA	1.028	3.896	0	0	192.3	742.1	0	0
YJR092W	X	YJR092W	+	598735	603078	4344	0.393	FALSE	-2.028	0.009423	NA	5.138	7.792	2.005	0.9966	241.7	373.1	96.32	47.52
YJR015W	X	YJR015W	+	462721	464253	1533	0.4136	FALSE	-4.391	0.009453	NA	1.028	3.896	0	0	137	528.6	0	0
YKR017C	XI	YKR017C	-	471694	473349	1656	0.3708	FALSE	4.392	0.01032	NA	0	0	4.01	0.9966	0	0	505.3	124.7
YDL091C	IV	YDL091C	-	293392	294759	1368	0.375	FALSE	-4.398	0.01222	NA	4.11	0.974	0	0	613.9	148.1	0	0
YKL126W	XI	YKL126W	+	205707	207749	2043	0.3813	FALSE	-4.398	0.01236	NA	4.11	0.974	0	0	411.1	99.16	0	0
YDR370C	IV	YDR370C	-	1217782	1219110	1329	0.3649	FALSE	2.722	0.01284	NA	1.028	0	5.013	2.99	158	0	787.1	466
YNL106C	XIV	YNL106C	-	420944	424495	3552	0.395	FALSE	2.187	0.01588	NA	2.055	0	6.015	3.986	118.2	0	353.4	232.5
YMR251W	XIII	YMR251W	+	772915	774015	1101	0.4687	FALSE	-1.746	0.01595	NA	8.22	5.844	0	3.986	1526	1104	0	750
YDR326C	IV	YDR326C	-	1120609	1124925	4317	0.3648	FALSE	-2.72	0.01851	NA	2.055	5.844	0	0.9966	97.27	281.6	0	47.82
YBR241C	II	YBR241C	-	702589	704055	1467	0.5065	FALSE	1.464	0.01933	NA	3.083	2.922	8.02	8.97	429.3	414.3	1141	1267
YDR196C	IV	YDR196C	-	850274	850999	726	0.3815	FALSE	4.394	0.02363	NA	0	0	5.013	0	0	0	1441	0
YCR017C	III	YCR017C	-	144773	147634	2862	0.3955	FALSE	2.535	0.02451	NA	0	0.974	4.01	2.99	0	70.79	292.4	216.4
YER054C	V	YER054C	-	262052	263698	1647	0.388	FALSE	-4.097	0.02501	NA	4.11	0	0	0	509.9	0	0	0
YLR210W	XII	YLR210W	+	562008	563390	1383	0.3811	FALSE	-4.097	0.02501	NA	4.11	0	0	0	607.2	0	0	0
YMR136W	XIII	YMR136W	+	541199	542881	1683	0.3922	FALSE	-4.097	0.02501	NA	4.11	0	0	0	499	0	0	0
YDR383C	IV	YDR383C	-	1239960	1240676	717	0.378	FALSE	-4.093	0.02521	NA	3.083	0.974	0	0	878.5	282.6	0	0
YDR407C	IV	YDR407C	-	1284069	1287938	3870	0.3643	FALSE	-4.093	0.02521	NA	3.083	0.974	0	0	162.8	52.35	0	0
15S_rRNA	MT	15S_rRNA	+	6546	8194	1649	0.2122	FALSE	-4.093	0.02521	NA	3.083	0.974	0	0	382	122.9	0	0
YDR056C	IV	YDR056C	-	565023	565640	618	0.3948	FALSE	-4.088	0.02541	NA	2.055	1.948	0	0	679.5	655.6	0	0
YIL156W	IX	YIL156W	+	48091	51306	3216	0.4042	FALSE	-4.088	0.02541	NA	2.055	1.948	0	0	130.6	126	0	0
YGR112W	VII	YGR112W	+	717358	718527	1170	0.4231	FALSE	-4.088	0.02541	NA	2.055	1.948	0	0	358.9	346.3	0	0
YJL214W	X	YJL214W	+	26887	28596	1710	0.4088	FALSE	-4.088	0.02541	NA	2.055	1.948	0	0	245.6	237	0	0
YKL219W	XI	YKL219W	+	14485	15708	1224	0.3881	FALSE	-4.088	0.02541	NA	2.055	1.948	0	0	343.1	331	0	0
YKL020C	XI	YKL020C	-	398832	402080	3249	0.3949	FALSE	-4.088	0.02541	NA	2.055	1.948	0	0	129.2	124.7	0	0
YLR134W	XII	YLR134W	+	410723	412414	1692	0.422	FALSE	-4.088	0.02541	NA	2.055	1.948	0	0	248.2	239.5	0	0
YMR208W	XIII	YMR208W	+	684467	685798	1332	0.4054	FALSE	-4.088	0.02541	NA	2.055	1.948	0	0	315.2	304.2	0	0
YNL262W	XIV	YNL262W	+	148212	154880	6669	0.3741	FALSE	-4.088	0.02541	NA	2.055	1.948	0	0	62.96	60.76	0	0
YBL055C	II	YBL055C	-	115573	116829	1257	0.4049	FALSE	4.088	0.02545	NA	0	0	3.008	0.9966	0	0	499.3	164.2
YBR059C	II	YBR059C	-	356861	360187	3327	0.4034	FALSE	4.088	0.02545	NA	0	0	3.008	0.9966	0	0	188.6	62.05
YDR122W	IV	YDR122W	+	694700	697894	3195	0.4116	FALSE	4.088	0.02545	NA	0	0	3.008	0.9966	0	0	196.4	64.61
YER147C	V	YER147C	-	462968	464842	1875	0.4619	FALSE	4.088	0.02545	NA	0	0	3.008	0.9966	0	0	334.7	110.1
YHR111W	VIII	YHR111W	+	333072	334394	1323	0.4119	FALSE	4.087	0.02547	NA	0	0	2.005	1.993	0	0	316.3	312.1
YLR278C	XII	YLR278C	-	699999	704024	4026	0.3972	FALSE	4.087	0.02547	NA	0	0	2.005	1.993	0	0	103.9	102.6
YML115C	XIII	YML115C	-	40187	41794	1608	0.4042	FALSE	4.087	0.02547	NA	0	0	2.005	1.993	0	0	260.2	256.8
YNL061W	XIV	YNL061W	+	510540	512396	1857	0.4001	FALSE	4.087	0.02547	NA	0	0	2.005	1.993	0	0	225.3	222.3
YJL099W	X	YJL099W	+	239414	241654	2241	0.3811	FALSE	4.087	0.02549	NA	0	0	1.003	2.99	0	0	93.35	276.4
YML029W	XIII	YML029W	+	217362	219878	2517	0.4033	FALSE	4.087	0.02549	NA	0	0	1.003	2.99	0	0	83.12	246.1
YPR128C	XVI	YPR128C	-	791218	792204	987	0.3972	FALSE	4.087	0.02549	NA	0	0	1.003	2.99	0	0	212	627.5
YBR291C	II	YBR291C	-	783673	784572	900	0.4178	FALSE	-4.083	0.02561	NA	1.028	2.922	0	0	233.3	675.3	0	0
YIL128W	IX	YIL128W	+	113806	116904	3099	0.3511	FALSE	-4.083	0.02561	NA	1.028	2.922	0	0	67.75	196.1	0	0
YJR109C	X	YJR109C	-	629585	632941	3357	0.3899	FALSE	-4.083	0.02561	NA	1.028	2.922	0	0	62.54	181	0	0
YML063W	XIII	YML063W	+	146482	147249	768	0.401	FALSE	-4.083	0.02561	NA	1.028	2.922	0	0	273.4	791.4	0	0
YOR109W	XV	YOR109W	+	525278	528601	3324	0.3833	FALSE	-4.083	0.02561	NA	1.028	2.922	0	0	63.16	182.8	0	0
YOR361C	XV	YOR361C	-	1015361	1017652	2292	0.3892	FALSE	2.535	0.02631	NA	1.028	0	4.01	2.99	91.6	0	365.1	270.2
YGR289C	VII	YGR289C	-	1073963	1075813	1851	0.4068	FALSE	-2.04	0.02815	NA	5.138	3.896	1.003	0.9966	567.1	437.8	113	111.5
YER164W	V	YER164W	+	505392	509798	4407	0.396	FALSE	2.039	0.02826	NA	1.028	0.974	4.01	4.983	47.64	45.97	189.9	234.2
YEL022W	V	YEL022W	+	111421	115800	4380	0.3543	FALSE	-1.441	0.03513	NA	7.193	6.818	4.01	0.9966	335.5	323.8	191.1	47.13
YMR179W	XIII	YMR179W	+	619858	622134	2277	0.3764	FALSE	1.44	0.03679	NA	1.028	3.896	5.013	8.97	92.21	355.9	459.4	816
YGR211W	VII	YGR211W	+	915241	916701	1461	0.4264	FALSE	-1.528	0.0407	NA	6.165	5.844	4.01	0	862.2	832	572.8	0
YLL021W	XII	YLL021W	+	100947	105347	4401	0.4015	FALSE	1.527	0.04089	NA	1.028	2.922	8.02	3.986	47.71	138.1	380.3	187.6
YGL160W	VII	YGL160W	+	200561	202273	1713	0.3637	FALSE	-1.658	0.04605	NA	6.165	3.896	2.005	0.9966	735.4	473.1	244.3	120.5
YER116C	V	YER116C	-	395348	396172	825	0.4303	FALSE	-1.658	0.04605	NA	4.11	5.844	2.005	0.9966	1018	1473	507.2	250.2
YIL126W	IX	YIL126W	+	117992	122071	4080	0.377	FALSE	-2.528	0.04607	NA	1.028	5.844	0	0.9966	51.46	297.9	0	50.6
YER144C	V	YER144C	-	457806	460223	2418	0.3987	FALSE	1.656	0.04624	NA	2.055	0.974	7.018	2.99	173.7	83.79	605.6	256.1
YER001W	V	YER001W	+	153520	155808	2289	0.3788	FALSE	-2.323	0.04647	NA	3.083	2.922	0	0.9966	275.2	265.5	0	90.19
YLR005W	XII	YLR005W	+	160049	161434	1386	0.4076	FALSE	-2.323	0.04647	NA	3.083	2.922	0	0.9966	454.4	438.5	0	148.9
YAL039C	I	YAL039C	-	68716	69525	810	0.5309	FALSE	-2.323	0.04647	NA	2.055	3.896	0	0.9966	518.4	1000	0	254.9
YGR061C	VII	YGR061C	-	611889	615965	4077	0.4074	FALSE	-2.323	0.04647	NA	2.055	3.896	0	0.9966	103	198.8	0	50.64
YHR206W	VIII	YHR206W	+	512732	514600	1869	0.4056	FALSE	2.321	0.04661	NA	0	0.974	2.005	3.986	0	108.4	223.9	441.8
YBL023C	II	YBL023C	-	174920	177526	2607	0.4001	FALSE	2.321	0.04875	NA	1.028	0	4.01	1.993	80.53	0	321	158.4
YBR204C	II	YBR204C	-	632254	633381	1128	0.3901	FALSE	2.321	0.04884	NA	1.028	0	4.01	1.993	186.1	0	741.9	366
YKL148C	XI	YKL148C	-	169207	171129	1923	0.4576	FALSE	2.321	0.04907	NA	1.028	0	4.01	1.993	109.2	0	435.2	214.7
YDL167C	IV	YDL167C	-	160995	163154	2160	0.3773	FALSE	-1.875	0.04958	NA	5.138	2.922	0	1.993	486	281.4	0	191.1
YNL247W	XIV	YNL247W	+	182875	185178	2304	0.3867	FALSE	-1.875	0.04958	NA	3.083	4.87	0	1.993	273.4	439.7	0	179.2
YPL258C	XVI	YPL258C	-	53498	55153	1656	0.4221	FALSE	1.874	0.04976	NA	0	1.948	4.01	3.986	0	244.7	505.3	498.6
YOR334W	XV	YOR334W	+	944596	946008	1413	0.3793	FALSE	1.874	0.04976	NA	0	1.948	3.008	4.983	0	286.8	444.2	730.5
YJR040W	X	YJR040W	+	507746	510085	2340	0.3923	FALSE	1.874	0.04976	NA	1.028	0.974	4.01	3.986	89.72	86.58	357.6	352.9
YDR219C	IV	YDR219C	-	905455	906852	1398	0.3512	FALSE	-3.711	0.05409	NA	3.083	0	0	0	450.5	0	0	0
YDR252W	IV	YDR252W	+	963412	963861	450	0.3956	FALSE	-3.711	0.05409	NA	3.083	0	0	0	1400	0	0	0
YER014W	V	YER014W	+	182600	184219	1620	0.4068	FALSE	-3.711	0.05409	NA	3.083	0	0	0	388.8	0	0	0
YHR045W	VIII	YHR045W	+	195551	197233	1683	0.3827	FALSE	-3.711	0.05409	NA	3.083	0	0	0	374.2	0	0	0
YJR084W	X	YJR084W	+	583733	585004	1272	0.408	FALSE	-3.711	0.05409	NA	3.083	0	0	0	495.2	0	0	0
YML047W-A	XIII	YML047W-A	+	179893	180258	366	0.3142	FALSE	-3.711	0.05409	NA	3.083	0	0	0	1721	0	0	0
YNL161W	XIV	YNL161W	+	332597	334867	2271	0.4016	FALSE	-3.711	0.05409	NA	3.083	0	0	0	277.3	0	0	0
YOR307C	XV	YOR307C	-	892731	894092	1362	0.3803	FALSE	-3.711	0.05409	NA	3.083	0	0	0	462.4	0	0	0
YPL130W	XVI	YPL130W	+	304387	305058	672	0.3601	FALSE	-3.711	0.05409	NA	3.083	0	0	0	937.3	0	0	0
YPR149W	XVI	YPR149W	+	829918	830439	522	0.4234	FALSE	-3.711	0.05409	NA	3.083	0	0	0	1207	0	0	0
YCL038C	III	YCL038C	-	54941	56527	1587	0.3951	FALSE	-3.704	0.05449	NA	2.055	0.974	0	0	264.6	127.7	0	0
YCR045C	III	YCR045C	-	208135	209610	1476	0.479	FALSE	-3.704	0.05449	NA	2.055	0.974	0	0	284.5	137.3	0	0
YDR124W	IV	YDR124W	+	700315	701289	975	0.3774	FALSE	-3.704	0.05449	NA	2.055	0.974	0	0	430.7	207.8	0	0
YIL121W	IX	YIL121W	+	132244	133872	1629	0.4217	FALSE	-3.704	0.05449	NA	2.055	0.974	0	0	257.8	124.4	0	0
YGL185C	VII	YGL185C	-	153167	154306	1140	0.4035	FALSE	-3.704	0.05449	NA	2.055	0.974	0	0	368.3	177.7	0	0
YGR260W	VII	YGR260W	+	1012485	1014089	1605	0.4174	FALSE	-3.704	0.05449	NA	2.055	0.974	0	0	261.6	126.2	0	0
YGR268C	VII	YGR268C	-	1026057	1026653	597	0.5075	FALSE	-3.704	0.05449	NA	2.055	0.974	0	0	703.4	339.4	0	0
YKL220C	XI	YKL220C	-	9091	11226	2136	0.3914	FALSE	-3.704	0.05449	NA	2.055	0.974	0	0	196.6	94.85	0	0
YKL038W	XI	YKL038W	+	365605	369117	3513	0.4236	FALSE	-3.704	0.05449	NA	2.055	0.974	0	0	119.5	57.67	0	0
YLR071C	XII	YLR071C	-	275378	278626	3249	0.3666	FALSE	-3.704	0.05449	NA	2.055	0.974	0	0	129.2	62.36	0	0
YLR203C	XII	YLR203C	-	550650	551960	1311	0.4317	FALSE	-3.704	0.05449	NA	2.055	0.974	0	0	320.3	154.5	0	0
YLR442C	XII	YLR442C	-	1019315	1022251	2937	0.365	FALSE	-3.704	0.05449	NA	2.055	0.974	0	0	143	68.98	0	0
YML125C	XIII	YML125C	-	20761	21699	939	0.4377	FALSE	-3.704	0.05449	NA	2.055	0.974	0	0	447.2	215.8	0	0
YMR128W	XIII	YMR128W	+	523696	527499	3804	0.3822	FALSE	-3.704	0.05449	NA	2.055	0.974	0	0	110.4	53.26	0	0
YMR154C	XIII	YMR154C	-	565999	568182	2184	0.3686	FALSE	-3.704	0.05449	NA	2.055	0.974	0	0	192.3	92.76	0	0
YOL078W	XV	YOL078W	+	181682	185212	3531	0.3832	FALSE	-3.704	0.05449	NA	2.055	0.974	0	0	118.9	57.38	0	0
YOR350C	XV	YOR350C	-	992864	994855	1992	0.3539	FALSE	-3.704	0.05449	NA	2.055	0.974	0	0	210.8	101.7	0	0
YPL183C	XVI	YPL183C	-	199495	202536	3042	0.3721	FALSE	-3.704	0.05449	NA	2.055	0.974	0	0	138	66.6	0	0
YPL138C	XVI	YPL138C	-	291366	292427	1062	0.3889	FALSE	-3.704	0.05449	NA	2.055	0.974	0	0	395.4	190.8	0	0
YPL120W	XVI	YPL120W	+	322071	323744	1674	0.3554	FALSE	-3.704	0.05449	NA	2.055	0.974	0	0	250.8	121	0	0
YDR060W	IV	YDR060W	+	570649	573726	3078	0.373	FALSE	3.701	0.05472	NA	0	0	3.008	0	0	0	203.9	0
YDR505C	IV	YDR505C	-	1456695	1459220	2526	0.3702	FALSE	3.701	0.05472	NA	0	0	3.008	0	0	0	248.5	0
YER087W	V	YER087W	+	330576	332306	1731	0.3847	FALSE	3.701	0.05472	NA	0	0	3.008	0	0	0	362.6	0
YJL105W	X	YJL105W	+	225055	226737	1683	0.3785	FALSE	3.701	0.05472	NA	0	0	3.008	0	0	0	372.9	0
